vendor,ag_and_dead_market,ag_and_evo_market,h_ag_only,date_min,date_max
blackbusiness,0,1,0,2014-06-01,2015-04-02
blackhand,1,1,0,2014-01-09,2015-07-07
blackjack21,0,0,1,2014-04-06,2014-04-06
blackrhinolabs,0,0,1,2015-03-05,2015-04-10
blackwatergp,0,0,1,2014-10-25,2014-12-23
blackworld,0,1,0,2015-02-01,2015-04-12
blamecanada,0,0,1,2015-06-11,2015-06-20
blottershop,0,0,1,2014-08-14,2014-09-22
blow,0,0,1,2014-08-03,2015-07-07
blueberriepie,0,0,1,2015-01-01,2015-07-07
blueberry91,0,0,1,2014-08-14,2015-07-07
bluegiraffe,1,0,0,2014-02-05,2014-06-01
bluerave,0,0,1,2015-03-10,2015-07-07
blueskiesredeyes,1,0,0,2014-02-05,2015-07-07
bluestracks,0,0,1,2015-02-26,2015-04-12
blueviking,1,1,0,2014-01-26,2015-06-26
bluntpacker,0,0,1,2015-02-01,2015-06-26
bob-bitchin,0,0,1,2014-02-23,2015-07-07
bobafet,0,1,0,2015-06-30,2015-07-07
bobdylan,0,0,1,2014-04-06,2014-04-06
bodyinaction,1,1,0,2014-01-09,2015-06-30
boggalertz2,0,1,0,2014-12-30,2015-07-07
bonnienclyde,0,1,0,2014-10-25,2015-07-07
boomers,0,1,0,2014-08-27,2015-07-07
boomtingzuk,0,0,1,2014-05-16,2015-07-07
boookface,0,0,1,2014-12-23,2014-12-23
boosie5150,0,1,0,2014-04-26,2015-01-01
boracicsource,0,0,1,2015-01-28,2015-01-28
borderwalker,0,1,0,2015-03-13,2015-03-30
borz808,0,0,1,2015-02-16,2015-06-30
bosscalibud,0,1,0,2014-02-23,2015-04-27
bosstweed,0,1,0,2014-02-23,2015-02-17
bostongeorge,0,0,1,2014-02-02,2014-02-28
bostongeorge14,0,0,1,2014-09-22,2015-05-10
brandonlear,0,0,1,2015-07-07,2015-07-07
breaking_bad,1,0,0,2015-01-08,2015-07-07
breakingravesfave,0,0,1,2014-04-06,2014-08-03
breezethegnome,0,0,1,2014-12-03,2015-07-07
brickandmortar,0,0,1,2015-04-10,2015-04-10
brickbank,0,0,1,2015-05-04,2015-07-07
brother_satellite,0,0,1,2014-12-15,2015-02-17
brownjames,0,1,0,2014-06-01,2015-07-07
brownmaker,0,0,1,2015-06-11,2015-06-11
bruceleetree,0,0,1,2014-11-15,2015-02-02
brucewaynescat11,0,0,1,2014-02-23,2014-03-06
brucexlee1,0,0,1,2014-11-07,2014-11-15
brulz8,0,1,0,2014-04-06,2014-10-31
bryol,1,0,0,2014-02-24,2014-06-01
btcboss,0,0,1,2014-10-25,2015-06-26
btcisme123,0,0,1,2014-11-15,2014-12-10
bubbleboy,0,0,1,2014-08-03,2014-08-14
bubblehash,0,0,1,2014-01-09,2015-07-07
budboss,1,1,0,2014-02-23,2015-07-07
budbroker,0,1,0,2014-11-06,2015-04-02
budbrother,1,1,0,2014-01-09,2015-06-20
budbuddy,0,0,1,2014-08-03,2015-04-27
budcentral,0,1,0,2014-04-26,2014-06-01
buddercup,0,1,0,2014-05-24,2015-06-30
buddys,0,1,0,2014-06-01,2015-07-07
budease,0,0,1,2015-06-04,2015-07-07
budgetstoreuk,0,1,0,2014-12-06,2015-07-07
budindustries,0,1,0,2015-03-22,2015-07-07
budlife,0,0,1,2014-02-23,2014-03-06
budmail,0,0,1,2015-07-07,2015-07-07
budmail_ace,0,0,1,2014-08-03,2014-08-27
budman,1,1,0,2014-11-06,2015-04-12
budmanting,0,0,1,2015-02-16,2015-06-26
budmaster,0,0,1,2015-02-01,2015-07-07
budmastergeneral,0,0,1,2015-02-28,2015-07-07
budqueen,0,0,1,2015-07-07,2015-07-07
buds_buds,0,0,1,2014-08-27,2014-09-05
budsbuds1,1,1,0,2014-05-16,2015-07-07
budsnroses,0,1,0,2014-08-27,2015-06-26
budwax,0,0,1,2015-02-09,2015-07-07
budworx,1,0,0,2014-01-26,2014-10-31
buht,0,0,1,2014-09-22,2015-07-07
bulkbarn,0,1,0,2015-01-24,2015-02-02
bulkdealer,0,0,1,2015-04-12,2015-07-07
bulkshipping,0,0,1,2014-12-30,2015-03-29
bulkteam,0,1,0,2015-03-05,2015-05-10
bulktree,0,0,1,2015-06-26,2015-07-04
bullseye,0,1,0,2014-08-03,2015-04-12
bumble701,0,1,0,2014-10-25,2014-11-15
bungee54,1,1,0,2014-02-23,2015-03-22
burmaimports,0,0,1,2014-10-29,2014-11-15
burnbabyburn,0,0,1,2015-03-03,2015-03-29
businessdude,0,1,0,2014-02-23,2015-07-07
businessnobs,0,0,1,2015-03-29,2015-04-12
butterflylabs,0,0,1,2014-09-22,2014-10-31
buymyshrooms,0,0,1,2014-01-16,2014-03-03
c-vinyl,0,0,1,2014-10-25,2014-11-07
c63amgsr,0,0,1,2014-09-05,2015-05-13
c8n,0,0,1,2015-02-24,2015-07-07
cabron_marq,0,0,1,2014-12-20,2014-12-20
cafe_deluxe,0,1,0,2014-09-22,2015-07-07
cali-connection,0,1,0,2015-06-04,2015-07-07
cali_kush,0,1,0,2014-08-14,2015-07-07
calicannabisclub,0,0,1,2015-04-02,2015-07-07
calicannabuzz,1,0,0,2014-04-06,2014-06-01
caliclaire,0,0,1,2014-05-16,2015-06-20
caliconnect,0,0,1,2014-02-23,2014-05-16
california_medical_marijuana,0,0,1,2014-10-25,2014-12-10
californiadreamin,0,0,1,2014-01-09,2014-03-06
californiadreams,1,1,0,2014-02-23,2015-07-07
californiagreencross,0,0,1,2014-04-26,2015-07-07
californiasunshine,0,0,1,2015-06-04,2015-07-07
caligirl,1,0,0,2014-02-23,2014-06-01
caligirlorganics,0,0,1,2015-02-17,2015-03-03
calikindness,0,0,1,2015-07-04,2015-07-07
calisfinest,1,1,0,2014-12-06,2015-06-30
callmejoe,0,1,0,2014-05-24,2015-07-07
callofmj,0,0,1,2014-12-03,2014-12-10
campcandy,0,1,0,2014-11-15,2014-12-03
canaboss,0,1,0,2015-07-04,2015-07-07
canadacandy,1,1,0,2014-05-16,2015-02-17
canadadirect,0,0,1,2014-05-16,2014-06-01
canadaflag,1,1,0,2014-02-23,2014-08-14
canadagold-mdma,0,0,1,2015-06-04,2015-07-07
canadaguy,0,0,1,2015-01-21,2015-02-01
canadalabsupply,0,0,1,2015-03-22,2015-06-30
canadasamazingdrugbud,0,0,1,2015-02-13,2015-02-16
canadasunshine,1,1,0,2014-04-06,2015-07-07
canadiancannabis,0,0,1,2014-02-23,2014-10-31
canadianchronic,0,0,1,2015-02-17,2015-05-13
canadianclassic,0,0,1,2014-02-23,2014-10-31
canadiandomestics,0,0,1,2015-06-26,2015-07-07
canadianexpress,1,1,0,2014-04-06,2014-10-31
canadianforger,1,1,0,2014-02-23,2015-07-07
canadianlines,0,0,1,2015-03-29,2015-07-07
canadiansupply,1,0,0,2014-08-03,2015-05-13
canadiss,0,0,1,2014-02-28,2014-03-06
candyman,0,0,1,2014-01-26,2014-10-31
candyshop,1,1,0,2014-02-23,2014-10-31
canjam420,0,0,1,2014-09-22,2015-07-07
canna-juice,0,0,1,2015-06-26,2015-07-07
cannabis-king,0,0,1,2014-06-01,2015-07-07
cannabisfarmer,0,0,1,2015-02-24,2015-04-12
cannabiskingdomsa,0,0,1,2014-01-26,2014-10-31
cannabisrailroad,0,0,1,2014-10-25,2015-07-07
cannabisrelief,0,0,1,2014-05-24,2014-08-27
cannabiswholesale,0,0,1,2014-02-23,2014-04-26
cannabuddy,0,0,1,2015-06-04,2015-07-07
cannaconcentrateuk,0,0,1,2015-04-10,2015-07-07
cannacouture,0,0,1,2015-07-04,2015-07-07
cannaking,0,0,1,2014-11-15,2015-07-07
cannaseed,0,1,0,2014-02-23,2015-07-07
cannaxpress000,0,1,0,2014-08-03,2015-07-04
canoxy,0,1,0,2014-05-16,2015-07-07
canucksales,0,0,1,2014-11-15,2015-01-16
canxpress,1,0,0,2014-03-06,2014-06-01
capecodcannabis,0,0,1,2014-10-25,2015-01-21
capecrusader,1,1,0,2014-02-28,2015-07-07
capncompound,0,1,0,2014-04-06,2014-04-06
captain_cook,0,0,1,2014-08-03,2014-09-05
captainchronic,1,1,0,2014-08-03,2015-07-07
captainkirk,0,0,1,2014-04-06,2015-07-07
captainzap,0,0,1,2015-06-15,2015-07-07
captainzo,1,1,0,2014-02-28,2015-06-20
captplanet,0,0,1,2015-03-29,2015-05-10
cardexpertdevbr,0,0,1,2015-03-22,2015-03-30
cardiedavid,0,1,0,2014-02-24,2015-07-07
carebears,0,0,1,2015-01-08,2015-07-07
carlbildt,1,0,0,2014-02-23,2015-07-07
carlos_lopez,1,1,0,2014-01-26,2015-07-07
carmexican,0,0,1,2014-08-27,2015-05-13
carmexkey,0,0,1,2014-08-03,2014-12-15
carpet,0,0,1,2014-09-22,2015-02-26
carteldelnorte,0,1,0,2014-04-06,2015-02-28
casablanca,0,0,1,2015-06-11,2015-07-07
cash4bitcoin,0,0,1,2014-08-03,2014-10-31
cash_euro,0,0,1,2014-06-01,2014-06-01
cashco,1,0,0,2014-03-03,2015-07-07
cashexchangedepot,0,0,1,2014-04-26,2014-06-01
cashflow,0,0,1,2014-04-26,2015-07-07
cashmonay13,0,0,1,2014-02-23,2014-10-31
cashoutmoney,0,1,0,2015-02-17,2015-02-28
cashtrade,0,1,0,2014-10-25,2015-07-07
casinoking,0,0,1,2014-08-03,2015-03-15
caslava,1,1,0,2014-04-06,2015-07-07
catfish916,0,1,0,2014-10-25,2015-03-10
cb2013,0,0,1,2014-01-09,2015-07-07
cc-uk,0,0,1,2014-11-15,2014-12-03
cd8n,1,1,0,2014-02-28,2014-10-29
cdarwin,0,1,0,2014-11-15,2015-07-07
cerberus,1,1,0,2014-08-03,2015-07-07
certifiedwiseguyz,0,0,1,2014-02-05,2015-07-07
chairman_meow,0,0,1,2015-06-04,2015-07-07
chang,0,1,0,2014-10-31,2015-01-01
charlie-molly,0,0,1,2014-02-23,2014-03-06
charlie_bartlett,0,0,1,2014-01-26,2014-11-06
charliebrown1,0,1,0,2014-09-22,2015-02-28
charliebrownco.,0,0,1,2015-06-04,2015-07-07
charlierock,0,1,0,2014-11-06,2015-02-26
charliewhite,0,0,1,2015-06-30,2015-07-07
chasethosepesos,0,0,1,2015-01-24,2015-03-19
cheap_euros,0,0,1,2015-03-22,2015-04-02
cheapbulkweed,0,0,1,2014-12-23,2014-12-30
cheapest_motherfucker,0,0,1,2015-06-11,2015-07-07
cheappaytv,0,0,1,2014-06-01,2014-11-15
cheapthrills,0,1,0,2015-03-15,2015-04-27
checkpoint,1,1,0,2014-04-06,2015-07-07
cheech.and.chong_uk,0,0,1,2014-05-16,2014-11-07
chefjefferey,0,0,1,2014-02-24,2014-03-06
chemical_brothers,0,0,1,2014-02-23,2014-04-26
chemicalbrothers,1,1,0,2014-02-23,2015-07-07
chemicallyembalanced,1,0,0,2014-02-23,2014-06-01
chemicalprincess13,0,0,1,2014-03-06,2015-01-09
chemicalreactor,0,0,1,2014-08-03,2015-04-12
chemicals_spain,1,1,0,2014-02-23,2015-03-22
chems_usa,0,0,1,2015-01-24,2015-07-07
chemsdirect,0,0,1,2015-06-20,2015-07-07
cheqdropz,0,0,1,2014-02-23,2014-10-25
cherryflavor_2,0,0,1,2014-02-23,2014-10-31
chess,0,0,1,2014-02-23,2015-07-07
chillinfast,0,0,1,2015-02-28,2015-07-07
chinachem,1,1,0,2014-05-24,2015-06-26
chinadank,1,1,0,2014-06-01,2015-03-03
chinadirect,0,0,1,2014-04-26,2014-05-24
chinatownchemist,0,1,0,2015-03-22,2015-07-07
chipchipperson,0,1,0,2014-05-16,2015-07-07
chipzahoy,0,1,0,2014-08-03,2015-06-04
chiquita,1,0,0,2014-02-23,2014-10-31
chitownmafia,0,1,0,2014-05-24,2014-06-01
chomper,1,0,0,2014-02-23,2014-06-01
chopperread,0,0,1,2015-06-15,2015-06-26
chrishash,0,0,1,2014-02-23,2014-10-31
christy_nugs,0,0,1,2014-08-27,2015-07-07
chroncentrates,0,0,1,2015-04-27,2015-07-07
chronicchef,1,1,0,2014-05-16,2014-10-31
chroniczen,0,0,1,2015-05-04,2015-06-30
chuck!norris,0,0,1,2015-06-30,2015-07-07
cicada,0,0,1,2015-04-27,2015-05-13
ciphercracks,0,1,0,2014-03-03,2014-06-01
citizen5,0,0,1,2015-04-03,2015-06-30
citizon_1,0,0,1,2014-08-27,2014-09-22
citra-evo,0,0,1,2015-03-22,2015-06-15
citylights,0,0,1,2014-01-09,2014-10-31
clandestine_pharmaceutics,0,0,1,2015-06-30,2015-07-07
claritybreeze,0,0,1,2014-08-14,2014-12-03
clarkent,0,1,0,2015-03-29,2015-05-10
clausewitz,0,0,1,2014-08-03,2015-07-07
clear-perfection,0,0,1,2014-04-06,2015-07-07
clivepalmer,0,0,1,2015-06-04,2015-07-07
clockmanagement,0,0,1,2014-11-15,2015-03-22
clonegarden,0,0,1,2015-03-07,2015-03-15
cloud9products,0,0,1,2014-11-15,2015-07-07
cmot,1,0,0,2014-02-23,2015-01-01
coachsanta,0,1,0,2014-12-01,2015-07-07
coala,0,0,1,2014-05-16,2014-08-03
coasttocoast,1,1,0,2014-01-09,2015-07-07
cobra_swe,0,0,1,2014-05-16,2015-06-15
coca-droga,0,0,1,2015-06-04,2015-06-11
cocahermanos,0,1,0,2014-11-06,2015-01-21
cocaine.,0,0,1,2015-02-26,2015-03-07
cocaine_cowboy,1,0,0,2014-08-14,2015-07-07
cocaine_oxy_vape_australia,0,0,1,2015-01-21,2015-05-04
cocainecastle,0,0,1,2015-06-11,2015-06-20
cocaineconnections,0,0,1,2014-01-16,2014-03-06
cocainedealer,0,0,1,2014-08-03,2015-07-07
cocainsplace,0,0,1,2015-02-28,2015-07-07
cocaleiro,1,0,0,2014-08-03,2015-07-07
cocaparis,1,1,0,2014-01-09,2015-06-30
cocktails,0,1,0,2014-12-01,2015-04-27
coco,0,1,0,2014-04-26,2014-12-24
coco09,0,0,1,2015-02-09,2015-04-27
cocofrance,0,0,1,2015-06-11,2015-06-30
cocomarley,0,0,1,2015-07-04,2015-07-07
codenamefuture,1,1,0,2014-04-06,2015-05-13
codex,0,1,0,2014-11-15,2014-12-10
coffeeshop,0,0,1,2014-06-01,2014-06-01
coffeeshop24,0,0,1,2015-03-22,2015-04-12
coinmart,1,0,0,2014-12-01,2015-01-16
coinpimp,0,0,1,2014-04-06,2015-04-07
cokecartel,1,0,0,2014-04-26,2014-04-26
cokedirectuk,0,0,1,2014-02-23,2015-07-07
cokeman,0,0,1,2015-03-13,2015-07-04
cokemate,0,1,0,2014-02-23,2015-07-07
cola,0,0,1,2014-01-26,2014-10-31
cola_corporation,0,0,1,2014-09-22,2014-09-22
colamen,0,0,1,2014-02-23,2014-03-06
coles,0,1,0,2014-04-06,2015-07-07
collapses,1,0,0,2014-02-23,2015-02-24
collectionconnection,0,0,1,2015-04-10,2015-05-10
colocures,0,1,0,2014-12-06,2015-07-07
colombiaconnection,0,0,1,2015-03-22,2015-07-07
colorado,0,1,0,2014-02-28,2015-05-13
colorado_fantasy,0,0,1,2014-10-31,2014-11-07
coloradocannabis,0,1,0,2014-02-23,2014-10-31
coloradosuppliers,0,0,1,2015-06-04,2015-06-04
colorfultaste,0,0,1,2014-10-25,2014-10-31
columbiamagic,1,1,0,2014-11-15,2015-02-24
combocrew,0,0,1,2014-08-03,2014-08-03
comebackhaze48,0,1,0,2014-08-03,2015-05-13
comeoneileen,0,0,1,2015-01-24,2015-03-05
concentrate-dealer,0,0,1,2014-10-31,2015-04-02
concentratesking,0,1,0,2014-04-06,2015-07-07
concertration,0,0,1,2015-02-11,2015-02-11
connectking,0,0,1,2015-04-27,2015-05-13
connoisseurquality,0,0,1,2014-10-25,2014-11-07
consistency,0,0,1,2015-04-10,2015-06-04
constellations,0,1,0,2014-08-27,2015-02-26
contingency,0,0,1,2014-02-23,2015-07-07
contrabandcrew,0,1,0,2014-12-23,2015-01-21
conyaso,0,1,0,2014-08-27,2014-10-31
cookie-monster,0,0,1,2015-06-04,2015-06-20
cookie_monster,0,0,1,2014-08-03,2015-04-07
cookiemonstah,0,1,0,2014-11-07,2014-12-01
cookies_hunter,0,0,1,2015-01-01,2015-01-15
cooksfinest,0,0,1,2015-06-15,2015-07-07
coolstorybabe,0,0,1,2015-02-01,2015-02-09
cop,0,0,1,2014-12-06,2014-12-10
corey_worthington,0,0,1,2014-04-06,2014-10-31
cornerapothecary,0,0,1,2014-04-06,2015-01-28
cornerman,0,0,1,2015-03-03,2015-03-05
cornettos,1,1,0,2014-01-09,2014-09-05
cosmicbites,0,1,0,2014-05-24,2015-06-26
cosmo~,0,0,1,2015-03-03,2015-05-06
cossacks,0,0,1,2014-04-06,2014-12-20
counsellor,0,1,0,2015-01-08,2015-04-27
cousinmolly,1,1,0,2014-02-23,2015-03-05
cowbe11s,0,1,0,2014-01-09,2014-11-15
cowgirl33,1,0,0,2014-10-25,2015-05-06
cozmikdub,0,0,1,2014-12-15,2015-02-26
cp_company1,0,0,1,2015-06-26,2015-07-07
cqdx,0,0,1,2014-12-01,2015-07-07
crackbak,1,0,0,2014-11-06,2015-01-01
craigman,1,1,0,2014-08-03,2015-07-07
crashboy,0,0,1,2014-06-01,2015-01-09
cravenmorehead,0,0,1,2014-10-25,2014-10-31
crazedchemist,0,1,0,2014-10-25,2015-06-30
crazy-eights,1,1,0,2014-02-24,2015-06-15
creamsicle,1,0,0,2014-08-14,2015-02-09
creator1988,0,0,1,2014-04-06,2015-04-10
creme.de.la.creme,0,0,1,2014-08-27,2014-10-31
crispywafer,0,0,1,2014-10-25,2015-06-20
croix,1,0,0,2014-12-01,2015-07-07
crossfire,0,0,1,2014-08-03,2014-09-22
cruncha,1,0,0,2014-02-23,2014-10-31
cryptochronic,0,0,1,2014-01-09,2014-10-29
cryptocleric,0,0,1,2015-01-08,2015-05-04
crystal_clean,0,0,1,2015-03-29,2015-07-07
crystalbuddha,1,1,0,2014-08-03,2014-12-24
crystalburns,1,1,0,2014-08-27,2015-07-07
crystallotus,0,0,1,2015-06-04,2015-07-07
crystalship,0,1,0,2014-08-27,2015-07-07
cubensisking,0,0,1,2015-04-10,2015-07-07
cuddlebear,0,0,1,2014-12-20,2015-02-26
cuervojones,1,0,0,2014-01-26,2014-10-31
cularis,1,0,0,2014-02-23,2015-03-22
cultmadeline,0,0,1,2014-02-23,2015-07-07
currency,0,0,1,2014-02-28,2015-06-30
customcandy,0,1,0,2015-03-29,2015-06-04
cutebitch,0,1,0,2015-02-16,2015-04-07
cvspharmacy,0,0,1,2014-08-03,2014-09-22
cyanspore,1,1,0,2014-02-23,2015-06-15
cyberzen,1,1,0,2014-02-23,2015-07-07
czechairlines,0,0,1,2015-06-04,2015-07-07
czechlab,0,0,1,2014-02-05,2015-03-29
czmademan,0,1,0,2014-08-03,2015-07-07
d0peboy,0,0,1,2015-06-20,2015-06-26
dabdeals,0,0,1,2015-06-26,2015-07-07
dadzz,0,0,1,2014-05-16,2014-05-16
dahbome,1,1,0,2014-02-23,2015-07-07
dakotafred,0,1,0,2014-05-24,2015-02-16
dampkringamsterdam,0,0,1,2014-02-23,2014-02-28
danarchist666,0,0,1,2014-08-03,2015-07-07
dancingshiva,0,0,1,2014-01-16,2014-06-01
dandelion,0,0,1,2014-01-26,2014-06-01
danhash,0,0,1,2015-06-04,2015-07-07
dankboss101,0,0,1,2014-02-28,2015-07-07
dankbudz,0,0,1,2015-03-10,2015-04-07
dankindoorsnw,0,0,1,2014-02-23,2015-03-22
dankmedgradekush101,1,0,0,2014-02-24,2015-07-07
dankness,0,1,0,2014-02-23,2015-05-13
dankofamerica,0,1,0,2015-01-21,2015-03-22
danman,0,0,1,2014-08-14,2015-05-13
dansjohn,0,0,1,2014-09-22,2014-11-07
darkexpresso,1,0,0,2014-02-23,2014-09-22
darkmark,0,1,0,2014-04-06,2015-01-21
darknetdelboy,0,0,1,2014-08-03,2014-08-03
darkoxyking,1,1,0,2015-01-24,2015-07-07
darkparadise,0,0,1,2014-08-03,2015-05-13
darkplace,0,0,1,2015-06-30,2015-07-07
darkshop,0,0,1,2015-06-30,2015-07-07
darkside18,0,0,1,2014-01-09,2014-04-26
darkvendor,1,1,0,2014-05-24,2015-05-13
darry,0,0,1,2014-02-28,2014-04-06
datgurlgo,1,0,0,2014-05-16,2015-07-07
dayandnight,0,0,1,2015-02-17,2015-05-13
daydreamer,0,0,1,2014-02-28,2015-05-10
daydreamer33,0,0,1,2014-04-06,2015-07-07
dayglow,0,0,1,2015-06-11,2015-07-07
daz_alley,0,1,0,2015-01-08,2015-07-07
db-cooper,0,0,1,2014-10-25,2015-06-30
dea,0,0,1,2014-08-03,2014-09-05
deadmaufive,0,0,1,2014-01-09,2014-10-29
deals_direct,0,0,1,2014-11-15,2015-06-30
deathsquadlabs,0,0,1,2014-08-03,2014-09-05
deconnect,0,1,0,2015-04-10,2015-05-13
deedmt,0,1,0,2015-06-04,2015-07-07
deeko,0,1,0,2015-03-22,2015-07-07
deemzbeemz,1,1,0,2014-01-26,2015-07-07
deepbay,0,0,1,2015-01-21,2015-07-07
deepmeds,0,1,0,2015-04-10,2015-07-07
dehs,0,0,1,2015-01-24,2015-07-07
dekay,1,1,0,2014-02-23,2015-07-07
delicatessen_store,0,0,1,2014-08-03,2015-03-13
deliverator,1,1,0,2014-01-09,2014-06-01
demoniak-team,0,0,1,2014-04-26,2014-06-01
demonic,0,0,1,2014-02-23,2014-10-31
denny1100,0,0,1,2015-01-24,2015-02-24
derek4real,1,1,0,2014-10-25,2015-05-10
derriese5,0,0,1,2014-06-01,2015-07-07
despicableme,1,1,0,2014-03-06,2014-12-03
destiny,0,0,1,2014-03-03,2014-06-01
detox_control,0,0,1,2014-11-15,2015-04-12
devilweedseeds,1,1,0,2014-01-09,2015-06-30
devistation,0,0,1,2014-08-14,2014-10-25
deweed,0,1,0,2014-05-24,2014-12-23
dexters_laboratory,0,0,1,2015-02-24,2015-06-15
dexterz-lab,0,0,1,2015-05-04,2015-05-10
dgslabz,1,1,0,2014-02-02,2015-06-26
diamonddealer,1,0,0,2014-05-16,2014-10-31
diamonddweller,1,1,0,2014-02-23,2015-03-19
diamondquality,0,0,1,2014-08-03,2014-09-05
diaznl,0,1,0,2014-05-16,2015-06-30
dickcheneyrx,0,0,1,2014-02-28,2014-06-01
diegomaradona,0,1,0,2014-02-24,2015-07-07
diegomaradona,0,1,0,2014-02-23,2014-02-23
dieselthc,0,0,1,2014-04-06,2014-05-16
digimon,0,0,1,2014-10-25,2015-07-07
digitalconnect,0,0,1,2015-06-20,2015-07-07
digitalhood,0,0,1,2014-02-23,2014-02-24
digitalpunk,0,1,0,2014-01-09,2015-07-07
dimebaggin,0,0,1,2014-10-25,2014-12-24
dimercurio,0,1,0,2014-05-16,2015-07-07
dimitri_coolbreeze,0,0,1,2015-06-15,2015-07-07
dimitrytoo,1,0,0,2014-01-26,2015-07-07
diondibra,1,0,0,2015-01-15,2015-07-07
dionysos,0,1,0,2014-12-24,2015-07-07
dionysuslabs,0,1,0,2014-04-06,2014-09-22
dipsy,0,0,1,2014-01-09,2015-07-07
direct2you,0,0,1,2014-02-23,2014-03-06
directpure,0,0,1,2014-06-01,2014-06-01
directrx,0,0,1,2015-05-04,2015-07-07
dirk,0,1,0,2014-05-16,2014-06-01
dirt_cheap_china,0,0,1,2014-10-25,2015-03-19
disco_shit,0,0,1,2015-04-10,2015-04-27
discountdrugs4u,0,0,1,2015-01-16,2015-01-16
discountedelectronics,0,0,1,2015-04-03,2015-04-07
discounts_r_us,0,0,1,2015-04-03,2015-07-07
discover,1,1,0,2014-02-02,2015-07-07
disishollanda,0,0,1,2015-06-04,2015-07-07
divinecubensis,0,0,1,2014-08-14,2015-06-30
dmt-lovestore2,0,0,1,2014-12-03,2015-07-07
dmtdoodeelsd,0,0,1,2014-11-06,2015-06-26
dmtelf,0,0,1,2014-10-25,2015-07-07
dmtexpress,0,1,0,2014-08-27,2014-12-15
dmtme,0,0,1,2015-06-11,2015-07-07
dmtnexus,0,0,1,2014-01-09,2014-03-06
dmtree,0,0,1,2014-04-06,2014-04-26
dmtspecialist,0,0,1,2015-03-19,2015-06-30
dmvnationsupply,0,0,1,2015-02-28,2015-07-07
dna_team,0,0,1,2015-06-04,2015-07-07
doc999,0,0,1,2014-10-25,2015-03-10
docanderson88,0,0,1,2014-08-03,2014-10-31
docemmett,0,0,1,2014-05-24,2014-06-01
docrx,0,0,1,2015-04-25,2015-07-07
doctor.drugs,0,0,1,2015-02-13,2015-07-07
doctor_xtc,0,0,1,2015-07-04,2015-07-07
doctoralice,0,0,1,2015-06-04,2015-07-07
doctordollar,0,1,0,2014-09-22,2015-03-13
doctordutch,0,0,1,2015-04-07,2015-04-12
doctorexxl,0,1,0,2014-02-23,2015-07-07
doctorfr,0,0,1,2015-06-11,2015-07-07
doctorfreedom,1,1,0,2014-04-06,2015-05-13
doctorgreen,0,0,1,2014-08-03,2015-07-07
doctorhack,0,0,1,2014-05-16,2014-08-03
doctormischief,0,0,1,2014-03-03,2014-04-26
doctornick,0,0,1,2014-02-28,2015-07-07
doctoroz,0,1,0,2014-09-22,2014-12-15
doctorzoidberg,1,1,0,2014-05-24,2015-06-30
dogkingdom,0,0,1,2014-12-15,2015-07-07
domcobb,0,0,1,2014-12-23,2014-12-23
domesticdoode,1,1,0,2014-08-03,2015-05-13
domesticimports,0,0,1,2014-09-22,2015-02-11
domesticlsd,0,0,1,2014-04-06,2014-04-06
domesticmolly,0,1,0,2014-12-01,2015-06-20
domopost,1,1,0,2014-04-06,2014-09-22
domoretryptamine,0,1,0,2014-05-24,2014-08-14
donaldo,0,0,1,2014-01-09,2015-06-11
doncamillo,0,0,1,2014-08-27,2014-11-07
donturiddu,0,1,0,2014-05-16,2015-06-30
doofgear,0,0,1,2015-02-09,2015-07-07
dopa,0,0,1,2014-01-09,2015-07-07
dopecartel,0,0,1,2014-04-06,2015-07-07
dopeman,0,0,1,2014-04-06,2014-08-27
doritos,1,1,0,2014-08-03,2015-07-07
doritos_doritos,0,1,0,2015-02-01,2015-04-27
dosensuppe,0,1,0,2014-08-27,2015-02-02
dotz.vuss,0,0,1,2014-10-25,2015-07-07
douanier007,0,0,1,2014-02-28,2014-10-31
double-helix,0,1,0,2014-04-06,2015-07-07
dowjones,0,0,1,2014-08-03,2014-08-27
downtherabbithole,0,0,1,2014-02-23,2015-06-20
dr-lude,1,0,0,2015-01-26,2015-07-07
dr._faded,0,0,1,2015-02-02,2015-03-22
dr.clean,0,0,1,2015-02-24,2015-05-04
dr.dreams,0,0,1,2014-11-06,2015-02-01
dr.ez,0,1,0,2015-03-22,2015-06-30
dr.feelgoodmeds,0,0,1,2015-04-02,2015-07-07
dr.ganji,0,0,1,2014-02-28,2014-04-06
dr.oz_md,0,0,1,2014-06-01,2015-07-07
dr.prof.med.apotheker,0,0,1,2015-06-20,2015-07-07
dr_mephistopheles,0,0,1,2014-01-26,2014-10-31
dr_seuss,0,0,1,2015-01-21,2015-07-07
dr_thc,0,0,1,2014-03-03,2015-03-03
dracaufeu,1,1,0,2014-05-16,2014-12-10
dragoncove,0,1,0,2014-04-26,2015-04-27
dragonemperor,0,1,0,2015-02-26,2015-03-22
dragonfly.de,0,0,1,2015-06-30,2015-07-07
drammenviking,0,0,1,2015-06-30,2015-07-07
drawkward,1,1,0,2014-02-23,2015-07-07
drblackhat,0,1,0,2014-10-25,2015-07-07
drdankbud,0,0,1,2014-04-06,2015-07-07
drdex,0,1,0,2014-08-03,2015-01-21
drdooms,0,1,0,2014-08-03,2015-03-15
drdouglas,1,1,0,2015-01-09,2015-07-07
dreamteam,1,0,0,2014-01-09,2014-10-31
dreamtime,1,1,0,2014-02-28,2015-06-26
