,name,price(BTC),from,to,vendor,cat_hash,cat,date
0,Santa Sativa - 15 Seeds Feminized,0.68666580,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-23
1,10 Seeds White Widow (Non-Fem'd ♀♂),0.12874983,,Canada,galaxytreez,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-23
2,Kuchi - 15 Seeds Feminized,0.62422213,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-23
3,10 Burmese Kush Cannabis seeds (Not feminized),0.24891635,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-23
4,10 Jamaican OG Cannabis seeds (Not feminized),0.24891635,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-23
5,10  Dark Star Cannabis seeds (Not feminized),0.28754130,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-23
6,Straw Sour Diesel - 15 Seeds Feminized,0.61799922,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-23
7,Casey Jones - 15 Seeds Feminized,0.61799922,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-23
8,5 Autoflowering Cannabis Seeds Fast Growing Ready In 3 Months!,0.09012488,,EU,Cannaseed,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-23
9,+ BLUE DREAM SEEDS +,0.02145830,,USA,CaliforniaGreenCross,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-23
10,Purple LA - 15 Seeds Feminized,0.81541564,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-23
11,Greenhouse Seeds The Church x 5 Female Seeds Free Shipping,0.15020814,,UK,LorenzoRC,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-23
12,Greenhouse Lemon Skunk Seeds x 5 Female  Free Shipping,0.15020814,,UK,LorenzoRC,rdffTvGkMC,Drugs/Cannabis/Seeds,2015-04-23
