,name,price(BTC),from,to,vendor,cat_hash,cat,date
0,Big Buddha Cheese - 15 Seeds Feminized,0.31156147,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-05-24
1,5 Biddy Early Cannabis seeds (Not feminized),0.06209777,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-05-24
2,CBD Nordle - 15 Seeds Feminized,0.32332241,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-05-24
3,Casey Jones - 15 Seeds Feminized,0.27097211,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-05-24
4,Blueberry autoflower (fem) Seeds 5 pcs,0.03387151,,Netherlands,Seeds_Co,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-05-24
5,5 Super Glue Cannabis seeds (Not feminized),0.08091528,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-05-24
6,5 Mendocino Madness Cannabis seeds (Not feminized),0.06209777,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-05-24
7,5 Heavy Duty Fruity Cannabis seeds (Not feminized),0.10914154,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-05-24
8,Purple Haze #1 - 15 Seeds Feminized,0.36616988,,UK,Quantum.Black.Widow,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-05-24
9,3 Chronic Cannabis seeds ( Feminized),0.09408753,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-05-24
10,5 Kushage Cannabis seeds (Not feminized),0.10914154,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-05-24
11,5 regular seeds - Church Kush - mold resistant,0.05645252,,Australia,budbrother,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-05-24
12,5 Kali Mist Cannabis seeds ( Not feminized),0.10349629,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-05-24
13,3 Enemy Of The State Cannabis seeds ( Feminized),0.08467878,,UK,HappyHippy2.0,rdffTvGkMC,Drugs/Cannabis/Seeds,2014-05-24
