,name,price,from,to,vendor,cat_hash,cat,date
0,Pt.1 Glock 17 9mm New Condition w/2 Mags,1.42544901,,,Guns_Ammo,RuXVKCci11,Weapons/Lethal firearms,2014-01-16
1,Pt.1 Glock 22 40 Caliber New condition w/2 Mags,1.18787418,,,Guns_Ammo,RuXVKCci11,Weapons/Lethal firearms,2014-01-16
2,Pt.2 40 Cal Taurus Millineum w/2 Mags,1.06908676,,,Guns_Ammo,RuXVKCci11,Weapons/Lethal firearms,2014-01-16
3,22LR Beretta Bobcat New Con dition Pt 1,1.18787418,,,Guns_Ammo,RuXVKCci11,Weapons/Lethal firearms,2014-01-16
4,Pt.1 40 Cal Taurus Millineum New Condition w/2 Mags,1.06908676,,,Guns_Ammo,RuXVKCci11,Weapons/Lethal firearms,2014-01-16
5,1OZHigh Grade  Commercial,0.10096930,USA,,SamWalton,RuXVKCci11,Weapons/Lethal firearms,2014-01-16
6,Pt.2 9mm Glock 19 New Condition w/2 Mags,1.42544901,,,Guns_Ammo,RuXVKCci11,Weapons/Lethal firearms,2014-01-16
7,22LR Beretta Bobcat New Condition Pt 2,1.18787418,,,Guns_Ammo,RuXVKCci11,Weapons/Lethal firearms,2014-01-16
8,Pt.1 9mm Glock 19 New Condition w/2 Mags,1.42544901,Worldwide,,Guns_Ammo,RuXVKCci11,Weapons/Lethal firearms,2014-01-16
9,Pt.2 Glock 17 9mm New Condition w/2 Mags,1.42544901,,,Guns_Ammo,RuXVKCci11,Weapons/Lethal firearms,2014-01-16
10,Walther PP,2.42326332,,,nibbler,RuXVKCci11,Weapons/Lethal firearms,2014-01-16
11,Walther PP,2.42326332,,,nibbler,RuXVKCci11,Weapons/Lethal firearms,2014-01-16
12,Pt.2 Glock 22 40 cal New Condition w/ 2,1.18787418,Worldwide,,Guns_Ammo,RuXVKCci11,Weapons/Lethal firearms,2014-01-16
13,Cleansing the Doors of Perception: The Religious Significance of Entheogenic Plants and Chemicals,0.00177712,,,blackhand,JAmvyj8iBs,Information/eBooks,2014-01-16
14,Rational Mysticism: Spirituality Meets Science in the Search for Enlightenment,0.00177712,,,blackhand,JAmvyj8iBs,Information/eBooks,2014-01-16
15,Total Synthesis II - Ecstasy & Amphetamines Synthesis,0.00177712,,,blackhand,JAmvyj8iBs,Information/eBooks,2014-01-16
16,Haschisch Lexikon german,0.01184749,,,freestylerfreak13a,JAmvyj8iBs,Information/eBooks,2014-01-16
17,Ketamine: Dreams and Realities,0.00177712,,,blackhand,JAmvyj8iBs,Information/eBooks,2014-01-16
18,Steal This Book,0.00177712,,,blackhand,JAmvyj8iBs,Information/eBooks,2014-01-16
19,antipodes of the mind - charting the phenomenology of the ayahua,0.00177712,,,blackhand,JAmvyj8iBs,Information/eBooks,2014-01-16
20,The Great Big Narcotics Cookbook,0.02014074,worldwide,,freestylerfreak13a,JAmvyj8iBs,Information/eBooks,2014-01-16
21,Drugs: The Straight Facts Marijuana,0.00177712,,,blackhand,JAmvyj8iBs,Information/eBooks,2014-01-16
22,Acid Dreams: The Complete Social History of LSD,0.00177712,,,blackhand,JAmvyj8iBs,Information/eBooks,2014-01-16
23,How I Stole Someone's Identity,0.00592374,,,fake,JAmvyj8iBs,Information/eBooks,2014-01-16
24,Body Language: How To Read Others' Thoughts By Their Gestures,0.00177712,,,blackhand,JAmvyj8iBs,Information/eBooks,2014-01-16
25,Satanic Bible Underground Edition,0.00177712,,,blackhand,JAmvyj8iBs,Information/eBooks,2014-01-16
26,"It's None of Your Business: A Complete Guide to Protecting Your Privacy, Identity and Assets",0.00177712,,,blackhand,JAmvyj8iBs,Information/eBooks,2014-01-16
27,How do profit illegal from Bitcoins,0.01777124,,,freestylerfreak13a,JAmvyj8iBs,Information/eBooks,2014-01-16
28,"Hacking Exposed Computer Forensics, Second Edition: Computer Forensics Secrets & Solutions",0.00177712,,,blackhand,JAmvyj8iBs,Information/eBooks,2014-01-16
29,A list of all current Marketplaces 10.01.2014,0.01777124,,,freestylerfreak13a,JAmvyj8iBs,Information/eBooks,2014-01-16
